complex                                                                              cdim    f-vector              faces    facets    pure    matroid    graph    pdim    codim    degree    m-vector         aED    pED    ML
[14,15,16,23,25,26,34,36,45]                                                         1       (1,6,9)               16       9         Y       N          N        54      9        34        (28)             N/A    N/A    N/A
[13,14,15,16,23,25,26,34,36,45]                                                      1       (1,6,10)              17       10        Y       N          N        53      10       37        (36)             N/A    N/A    N/A
[12,13,14,15,16,25,26,34,36,45]                                                      1       (1,6,10)              17       10        Y       N          N        53      10       38        (35)             N/A    N/A    N/A
[12,13,14,15,16,23,25,26,34,36,45]                                                   1       (1,6,11)              18       11        Y       N          N        52      11       41        (44)             N/A    N/A    N/A
[13,14,15,16,23,24,25,26,36,45]                                                      1       (1,6,10)              17       10        Y       N          N        53      10       37        (36,3)           N/A    N/A    N/A
[13,14,15,16,23,24,25,26,34,36,45]                                                   1       (1,6,11)              18       11        Y       N          N        52      11       40        (45)             N/A    N/A    N/A
[12,13,14,15,16,23,24,25,26,36,45]                                                   1       (1,6,11)              18       11        Y       N          N        52      11       42        (43,2)           N/A    N/A    N/A
[12,13,14,15,16,23,24,25,26,34,36,45]                                                1       (1,6,12)              19       12        Y       N          N        51      12       45        (53)             N/A    N/A    N/A
[12,13,14,15,23,24,25,34,35,45,6]                                                    1       (1,6,10)              17       11        N       N          N        53      10       27        (40)             N/A    N/A    N/A
[12,13,14,15,16,23,24,25,34,35,45]                                                   1       (1,6,11)              18       11        Y       N          N        52      11       39        (45)             N/A    N/A    N/A
[12,14,15,16,23,24,25,34,35,36,45]                                                   1       (1,6,11)              18       11        Y       N          N        52      11       40        (45)             N/A    N/A    N/A
[12,13,14,15,16,23,24,25,34,35,36,45]                                                1       (1,6,12)              19       12        Y       N          N        51      12       45        (53)             N/A    N/A    N/A
[14,15,16,23,24,25,26,34,35,36,45]                                                   1       (1,6,11)              18       11        Y       N          N        52      11       40        (45)             N/A    N/A    N/A
[13,14,15,16,23,24,25,26,34,35,36,45]                                                1       (1,6,12)              19       12        Y       N          N        51      12       44        (54)             N/A    N/A    N/A
[12,13,14,15,16,23,24,25,26,34,35,36,45]                                             1       (1,6,13)              20       13        Y       N          N        50      13       49        (63)             N/A    N/A    N/A
[13,14,15,16,23,24,25,26,35,36,45,46]                                                1       (1,6,12)              19       12        Y       Y          Y        51      12       43        (55)             N/A    N/A    N/A
[12,13,14,15,16,23,24,25,26,35,36,45,46]                                             1       (1,6,13)              20       13        Y       Y          Y        50      13       48        (64)             N/A    N/A    N/A
[12,13,14,15,16,23,24,25,26,34,35,36,45,46]                                          1       (1,6,14)              21       14        Y       Y          Y        49      14       53        (74)             N/A    N/A    N/A
[12,13,14,15,16,23,24,25,26,34,35,36,45,46,56]                                       1       (1,6,15)              22       15        Y       Y          Y        48      15       58        (85)             N/A    N/A    N/A
[123,4,5,6]                                                                          2       (1,6,3,1)             11       4         N       N          N        59      4        6         (9)              N/A    N/A    N/A
[123,16,4,5]                                                                         2       (1,6,4,1)             12       4         N       N          N        58      5        8         (13)             N/A    N/A    N/A
[123,15,16,4]                                                                        2       (1,6,5,1)             13       4         N       N          N        57      6        10        (18)             N/A    N/A    N/A
[123,14,15,16]                                                                       2       (1,6,6,1)             14       4         N       N          N        56      7        12        (24)             N/A    N/A    N/A
[123,16,24,5]                                                                        2       (1,6,5,1)             13       4         N       N          N        57      6        11        (17)             N/A    N/A    N/A
[123,14,24,5,6]                                                                      2       (1,6,5,1)             13       5         N       N          N        57      6        11        (17)             N/A    N/A    N/A
[123,14,16,24,5]                                                                     2       (1,6,6,1)             14       5         N       N          N        56      7        14        (22)             N/A    N/A    N/A
[123,15,16,24]                                                                       2       (1,6,6,1)             14       4         N       N          N        56      7        14        (22)             N/A    N/A    N/A
[123,14,15,16,24]                                                                    2       (1,6,7,1)             15       5         N       N          N        55      8        17        (28)             N/A    N/A    N/A
[123,15,16,24,25]                                                                    2       (1,6,7,1)             15       5         N       N          N        55      8        18        (27)             N/A    N/A    N/A
[123,14,15,24,25,6]                                                                  2       (1,6,7,1)             15       6         N       N          N        55      8        17        (28)             N/A    N/A    N/A
[123,14,15,16,24,25]                                                                 2       (1,6,8,1)             16       6         N       N          N        54      9        21        (34)             N/A    N/A    N/A
[123,14,15,16,24,25,26]                                                              2       (1,6,9,1)             17       7         N       N          N        53      10       24        (42)             N/A    N/A    N/A
[123,16,24,34,5]                                                                     2       (1,6,6,1)             14       5         N       N          N        56      7        16        (21)             N/A    N/A    N/A
[123,14,24,34,5,6]                                                                   2       (1,6,6,1)             14       6         N       N          N        56      7        16        (21)             N/A    N/A    N/A
[123,14,16,24,34,5]                                                                  2       (1,6,7,1)             15       6         N       N          N        55      8        21        (26)             N/A    N/A    N/A
[123,15,16,24,34]                                                                    2       (1,6,7,1)             15       5         N       N          N        55      8        21        (26)             N/A    N/A    N/A
[123,14,15,16,24,34]                                                                 2       (1,6,8,1)             16       6         N       N          N        54      9        26        (32)             N/A    N/A    N/A
[123,15,26,34]                                                                       2       (1,6,6,1)             14       4         N       N          N        56      7        16        (21)             N/A    N/A    N/A
[123,15,16,26,34]                                                                    2       (1,6,7,1)             15       5         N       N          N        55      8        21        (26)             N/A    N/A    N/A
[123,16,24,26,34,5]                                                                  2       (1,6,7,1)             15       6         N       N          N        55      8        21        (26)             N/A    N/A    N/A
[123,15,16,24,26,34]                                                                 2       (1,6,8,1)             16       6         N       N          N        54      9        28        (31)             N/A    N/A    N/A
[123,14,16,24,26,34,5]                                                               2       (1,6,8,1)             16       7         N       N          N        54      9        26        (32)             N/A    N/A    N/A
[123,14,15,24,26,34]                                                                 2       (1,6,8,1)             16       6         N       N          N        54      9        28        (31)             N/A    N/A    N/A
[123,14,15,16,26,34]                                                                 2       (1,6,8,1)             16       6         N       N          N        54      9        26        (32)             N/A    N/A    N/A
[123,14,15,16,24,26,34]                                                              2       (1,6,9,1)             17       7         N       N          N        53      10       33        (38)             N/A    N/A    N/A
[123,15,16,25,26,34]                                                                 2       (1,6,8,1)             16       6         N       N          N        54      9        26        (32)             N/A    N/A    N/A
[123,14,15,16,25,26,34]                                                              2       (1,6,9,1)             17       7         N       N          N        53      10       33        (38)             N/A    N/A    N/A
[123,14,15,16,24,25,26,34]                                                           2       (1,6,10,1)            18       8         N       N          N        52      11       38        (46)             N/A    N/A    N/A
[123,15,16,24,25,34,35]                                                              2       (1,6,9,1)             17       7         N       N          N        53      10       35        (37)             N/A    N/A    N/A
[123,14,15,24,25,34,35,6]                                                            2       (1,6,9,1)             17       8         N       N          N        53      10       31        (39)             N/A    N/A    N/A
[123,14,15,16,24,25,34,35]                                                           2       (1,6,10,1)            18       8         N       N          N        52      11       40        (45)             N/A    N/A    N/A
[123,15,16,24,26,34,35]                                                              2       (1,6,9,1)             17       7         N       N          N        53      10       37        (36,1)           N/A    N/A    N/A
[123,14,15,16,24,26,34,35]                                                           2       (1,6,10,1)            18       8         N       N          N        52      11       42        (44)             N/A    N/A    N/A
[123,14,15,16,24,25,26,34,35]                                                        2       (1,6,11,1)            19       9         N       N          N        51      12       47        (53)             N/A    N/A    N/A
[123,14,15,16,24,25,26,34,35,36]                                                     2       (1,6,12,1)            20       10        N       N          N        50      13       52        (63)             N/A    N/A    N/A
[123,45,6]                                                                           2       (1,6,4,1)             12       3         N       N          N        58      5        12        (10)             N/A    N/A    N/A
[123,16,45]                                                                          2       (1,6,5,1)             13       3         N       N          N        57      6        16        (14)             N/A    N/A    N/A
[123,15,45,6]                                                                        2       (1,6,5,1)             13       4         N       N          N        57      6        14        (15)             N/A    N/A    N/A
[123,15,16,45]                                                                       2       (1,6,6,1)             14       4         N       N          N        56      7        18        (20)             N/A    N/A    N/A
[123,14,15,45,6]                                                                     2       (1,6,6,1)             14       5         N       N          N        56      7        18        (20)             N/A    N/A    N/A
[123,14,15,16,45]                                                                    2       (1,6,7,1)             15       5         N       N          N        55      8        22        (26)             N/A    N/A    N/A
[123,16,24,45]                                                                       2       (1,6,6,1)             14       4         N       N          N        56      7        19        (19)             N/A    N/A    N/A
[123,14,24,45,6]                                                                     2       (1,6,6,1)             14       5         N       N          N        56      7        17        (20)             N/A    N/A    N/A
